id,SOTe1,SOTe2,SOTe3,SOTe4,SOTe5,SOTe6,SOTe7,SOTe8,SOTe9,SOTe10,SOTe11,SOTe12
Utah_101,3,7,6,3,13,22,307,11,40,21,6,2
Utah_102,67,96,14,0,6,35,4,60,1,37,5,1
Utah_104,76,174,226,68,48,125,90,90,90,90,90,90
Utah_105,2,4,7,2,1,5,4,8,22,30,9,3
Utah_107,53,1,39,34,8,36,305,125,87,10,5,9
Utah_108,8,37,29,24,1,11,43,56,131,48,26,150
Utah_109,4,16,14,12,7,2,19,1,39,1,10,3
Utah_110,4,26,2,78,5,1,4,11,250,19,14,15
Utah_111,4,15,216,17,3,7,11,6,13,16,0,13
Utah_112,9,7,25,6,12,27,11,40,220,174,14,120
Utah_113,15,29,49,24,44,14,23,123,90,90,90,90
Utah_114,15,33,242,7,6,28,8,48,4,8,6,4
Utah_115,159,23,18,33,40,29,67,59,56,100,22,7
Utah_116,52,5,18,17,8,10,9,28,26,21,5,4
Utah_117,217,40,41,10,45,15,10,22,153,66,4,34
Utah_118,197,88,221,3,278,81,303,183,179,10,7,68
Utah_119,2,17,29,20,11,40,38,43,5,243,11,19
Utah_120,18,9,9,16,0,27,0,11,10,2,3,5
Utah_121,79,39,46,90,15,23,75,38,90,90,90,90
Utah_122,4,16,24,12,12,134,5,20,12,33,26,150
Utah_123,3,12,4,29,5,22,5,17,14,17,14,1
Utah_124,2,23,27,0,2,7,12,22,29,4,18,3
Utah_125,22,13,40,58,37,42,299,65,157,280,21,5
Utah_126,22,16,143,4,3,166,24,53,40,1,2,16
Utah_127,14,66,186,18,53,84,90,90,90,90,90,90
Utah_128,9,35,17,6,22,10,10,41,18,15,28,17
Utah_129,70,18,30,63,28,21,23,45,10,11,23,9
Utah_130,198,13,49,6,236,86,280,55,234,269,1,3
Utah_131,78,86,39,65,279,197,90,90,90,90,90,90
Utah_132,7,8,8,7,4,18,9,9,4,0,8,5
Utah_133,5,16,7,54,7,18,2,30,252,13,5,10
Utah_134,6,11,7,4,11,1,8,17,19,3,14,7
